id,name,category_id,created_at,updated_at
341,"Houston Texans",1,1970-01-01T00:00:00Z,2025-11-24T07:56:53Z
140,"CA Osasuna",1,2024-07-01T11:26:58Z,2025-11-24T07:56:50Z
162,"Chicago Bears",1,2024-07-01T11:26:58Z,2025-11-24T07:56:56Z
685,"Tennessee Titans",1,1970-01-01T00:00:00Z,2025-11-24T07:56:57Z
77,"Arizona Diamondbacks",1,2024-07-01T11:26:58Z,2025-11-24T07:56:49Z
623,"San Diego Padres",1,2024-07-01T11:26:58Z,2025-11-24T07:56:50Z
788,"VfL Wolfsburg",1,2024-07-01T11:26:58Z,2025-11-24T07:56:51Z
1844,"Venezia FC",1,2024-11-26T19:35:53Z,2025-11-24T07:56:51Z
100,"Baltimore Orioles",1,2024-07-01T11:26:58Z,2025-11-24T07:56:51Z
15935,"BSC Young Boys",1,2024-12-30T13:14:38Z,2025-11-24T07:56:52Z
280,"FC Union Berlin",1,2024-07-01T11:26:58Z,2025-11-24T07:56:52Z
168,"Chicago White Sox",1,2024-07-01T11:26:58Z,2025-11-24T07:56:52Z
1860,"Union Saint-Gilloise",1,1970-01-01T00:00:00Z,2025-11-24T07:56:52Z
173,"Cincinnati Reds",1,2024-07-01T11:26:58Z,2025-11-24T07:56:53Z
232,"Detroit Tigers",1,2024-07-01T11:26:58Z,2025-11-24T07:56:52Z
663,"St. Louis Cardinals",1,2024-07-01T11:26:58Z,2025-11-24T07:56:52Z
28671,"US Cremonese",1,1970-01-01T00:00:00Z,2025-11-24T07:56:54Z
198,"Colorado Rockies",1,2024-07-01T11:26:58Z,2025-11-24T07:56:51Z
15473,"Feyenoord",1,1970-01-01T00:00:00Z,2025-11-24T07:56:52Z
23197,"FC Red Bull Salzburg",1,2024-12-30T17:24:15Z,2025-11-24T07:56:51Z
28699,"Elche CF",1,1970-01-01T00:00:00Z,2025-11-24T07:56:56Z
191,"Cleveland Guardians",1,2024-07-01T11:26:58Z,2025-11-24T07:56:52Z
353,"Indianapolis Colts",1,1970-01-01T00:00:00Z,2025-11-24T07:56:53Z
20928,"Celtic FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:57Z
6270,"Clemson Tigers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:55Z
11355,"Jimmy V Classic",1,2024-12-04T13:25:15Z,2025-11-24T07:56:55Z
1,"Spain World Cup 2026",1,1970-01-01T00:00:00Z,2025-11-24T07:56:52Z
23006,"Queens Park Rangers",1,2024-12-30T15:33:41Z,2025-11-24T07:56:53Z
639,"Seattle Seahawks",1,1970-01-01T00:00:00Z,2025-11-24T07:56:55Z
84,"Atlanta Braves",1,2024-07-01T11:26:58Z,2025-11-24T07:56:54Z
8462,"Hartford Wolf Pack",1,1970-01-01T00:00:00Z,2025-11-24T07:56:52Z
72,"Argentina World Cup 2026 ",1,1970-01-01T00:00:00Z,2025-11-24T07:56:53Z
575,"Pittsburgh Steelers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:54Z
30906,"Finalissima 2026",1,2025-11-18T14:54:42Z,2025-11-24T07:56:53Z
28713,"England Womens National Soccer Team",1,1970-01-01T00:00:00Z,2025-11-24T07:56:56Z
101,"Baltimore Ravens",1,1970-01-01T00:00:00Z,2025-11-24T07:56:59Z
358,"Jacksonville Jaguars",1,1970-01-01T00:00:00Z,2025-11-24T07:56:56Z
3093,"Georgetown Hoyas Mens Basketball",1,2024-12-02T20:15:09Z,2025-11-24T07:56:53Z
7802,"The Garden Cup",1,1970-01-01T00:00:00Z,2025-11-24T07:56:53Z
137,"Buffalo Bills",1,1970-01-01T00:00:00Z,2025-11-24T07:56:57Z
567,"Philadelphia Phillies",1,2024-07-01T11:26:58Z,2025-11-24T07:56:54Z
13508,"NASCAR Cup Series",1,2024-12-18T10:00:37Z,2025-11-24T07:57:02Z
26115,"Texas Tech Red Raiders Basketball",1,2025-01-02T12:41:16Z,2025-11-24T07:56:53Z
29405,"Malmö FF",1,2025-09-02T16:29:11Z,2025-11-24T07:56:55Z
28503,"CD Nacional",1,2025-01-02T14:28:25Z,2025-11-24T07:56:54Z
676,"SV Werder Bremen",1,2024-07-01T11:26:58Z,2025-11-24T07:56:53Z
29380,"FC Basel",1,1970-01-01T00:00:00Z,2025-11-24T07:56:59Z
23014,"Estoril Praia",1,2024-12-30T15:46:56Z,2025-11-24T07:56:54Z
11881,"PBR - Unleash the Beast",1,2024-12-04T13:37:53Z,2025-11-24T07:56:59Z
7770,"NASCAR Xfinity Series",1,2024-12-03T00:13:42Z,2025-11-24T07:57:01Z
11541,"Abbotsford Canucks",1,1970-01-01T00:00:00Z,2025-11-24T07:56:54Z
797,"Washington Nationals",1,2024-07-01T11:26:58Z,2025-11-24T07:56:56Z
14256,"Indianapolis 500",1,2024-12-23T17:35:34Z,2025-11-24T07:56:55Z
23009,"Rio Ave FC",1,2024-12-30T15:40:55Z,2025-11-24T07:56:54Z
30849,"AVS Futebol",1,2025-11-13T08:54:43Z,2025-11-24T07:56:58Z
593,"RB Leipzig",1,2024-07-01T11:26:58Z,2025-11-24T07:56:55Z
384,"Kansas City Chiefs",1,1970-01-01T00:00:00Z,2025-11-24T07:56:59Z
8929,"Providence Bruins",1,1970-01-01T00:00:00Z,2025-11-24T07:56:55Z
12916,"Chicago Wolves",1,1970-01-01T00:00:00Z,2025-11-24T07:56:58Z
30851,"FC Alverca",1,2025-11-13T08:55:48Z,2025-11-24T07:56:55Z
